filename,width,height,class,xmin,ymin,xmax,ymax
mug32.jpg,3456,5184,mug,732,2304,2465,4720
chair19.jpg,4213,2370,chair,1655,1086,2594,2247
cake3.jpg,5184,3456,cake,2725,724,4589,2440
balloon5.jpg,3004,4506,balloon,1091,1949,1526,2513
bicycle24.jpg,4234,6351,bicycle,702,3550,3702,6060
ball28.jpg,3024,4032,ball,496,1250,1827,2568
sign15.jpg,5184,3456,sign,1220,1014,2873,2735
window2.jpg,3995,2663,window,1811,1037,2161,1692
window2.jpg,3995,2663,window,566,879,820,1375
window2.jpg,3995,2663,window,549,1837,811,2325
window2.jpg,3995,2663,window,561,1,816,450
window2.jpg,3995,2663,window,70,858,216,1333
window2.jpg,3995,2663,window,70,1858,203,2337
present30.jpg,1281,1920,present,232,378,1101,1121
balloon47.jpg,3872,2592,balloon,450,966,1446,2178
plate45.jpg,3990,3259,plate,272,307,3732,2642
balloon34.jpg,5184,3456,balloon,3504,2067,4094,2777
clock1.jpg,6600,4912,clock,2018,1782,4595,4313
ball23.jpg,4644,3084,ball,2043,758,3195,1901
tree36.jpg,4000,6000,tree,1131,2813,2877,4158
cake46.jpg,5304,7952,cake,745,2282,4620,6244
clock14.jpg,3678,4598,clock,1411,1118,2164,1959
bicycle58.jpg,4000,2667,bicycle,1452,1527,2416,2082
card49.jpg,3000,1987,card,1151,414,1923,1626
window58.jpg,7360,4912,window,2352,3821,3222,4659
window58.jpg,7360,4912,window,683,1136,1814,2290
window58.jpg,7360,4912,window,2114,1129,3229,2305
window58.jpg,7360,4912,window,3983,1152,5052,2329
window58.jpg,7360,4912,window,5352,1152,6429,2398
cake21.jpg,4000,6000,cake,568,3867,1886,5031
cake21.jpg,4000,6000,cake,1913,3895,3213,5049
cake21.jpg,4000,6000,cake,1422,3113,2631,4095
card50.jpg,4032,3024,card,464,455,2736,1977
boat29.jpg,3024,3779,boat,385,1516,2238,3734
window50.jpg,4320,2949,window,471,153,921,926
window50.jpg,4320,2949,window,1212,149,1626,899
window50.jpg,4320,2949,window,2344,153,2776,921
window50.jpg,4320,2949,window,3298,180,3753,949
window50.jpg,4320,2949,window,1180,1767,1571,2289
window50.jpg,4320,2949,window,2348,1776,2785,2294
window50.jpg,4320,2949,window,3371,1789,3762,2303
door39.jpg,4957,3408,door,3297,243,4518,3000
bench32.jpg,6720,4480,bench,1,2943,3642,4434
